tweet_id,favorites,retweets
857029823797047296,18105,3773
856543823941562368,15702,2740
856526610513747968,11412,1784
856330835276025856,0,636
856288084350160898,494,15
856282028240666624,26727,5991
855862651834028034,324,24
855860136149123072,4738,933
855857698524602368,11457,2011
855851453814013952,44177,17216
855818117272018944,25722,5182
855459453768019968,28757,7860
855245323840757760,0,5690
855138241867124737,0,43
854732716440526848,22003,5803
854482394044301312,28328,6570
854365224396361728,18284,4503
854120357044912130,31001,7161
854010172552949760,15731,3023
853760880890318849,27710,5520
853639147608842240,33626,9655
853299958564483072,15038,3432
852936405516943360,0,1922
852912242202992640,8771,1744
852672615818899456,14493,2079
852553447878664193,15856,3346
852311364735569921,32265,9603
852226086759018497,19475,6621
852189679701164033,11165,1539
851861385021730816,0,19
851591660324737024,15869,3359
851464819735769094,23682,6836
851224888060895234,20203,5565
850753642995093505,30088,8837
850380195714523136,12804,2528
850333567704068097,3380,319
850145622816686080,15970,3688
850019790995546112,19951,4732
849776966551130114,29752,7372
849668094696017920,0,4813
849412302885593088,15529,3072
849336543269576704,11187,1848
849051919805034497,41475,8242
848690551926992896,24694,4214
848324959059550208,24212,4506
848213670039564288,8021,710
848212111729840128,16015,2959
847978865427394560,0,3171
847971574464610304,0,422
847962785489326080,23091,4944
847842811428974592,5335,1295
847617282490613760,6855,402
847606175596138505,18448,3350
847251039262605312,20151,4221
847157206088847362,19559,5728
847116187444137987,21105,3111
846874817362120707,19760,3843
846514051647705089,43882,11274
846505985330044928,13869,3004
846153765933735936,31087,8843
846139713627017216,30583,9819
846042936437604353,15717,2801
845812042753855489,28772,8512
845677943972139009,24824,4702
845397057150107648,7513,1764
845306882940190720,23002,5279
845098359547420673,0,7500
844979544864018432,13445,2507
844973813909606400,14860,3124
844580511645339650,16253,3059
844223788422217728,13482,2159
843981021012017153,14988,2898
843856843873095681,21175,4545
843604394117681152,16679,2694
843235543001513987,21259,5917
842846295480000512,15104,3580
842765311967449089,6654,1257
842535590457499648,17903,3453
842163532590374912,24151,5690
842115215311396866,13829,2988
841833993020538882,0,14825
841680585030541313,25473,7695
841439858740625411,12517,3628
841320156043304961,19613,5422
841314665196081154,15677,4581
841077006473256960,22630,5236
840761248237133825,0,1743
840728873075638272,0,15875
840698636975636481,173,2
840696689258311684,12179,962
840632337062862849,8915,1743
840370681858686976,16308,4491
840268004936019968,19092,5646
839990271299457024,13308,2246
839549326359670784,27235,7655
839290600511926273,0,141
839239871831150596,26907,6446
838952994649550848,19513,3947
838921590096166913,11052,2038
838916489579200512,0,35
838831947270979586,0,10885
838561493054533637,10870,1322
838476387338051585,22337,4718
838201503651401729,0,9941
838150277551247360,1663,328
838085839343206401,138,1
838083903487373313,17500,3098
837820167694528512,33870,7778
837482249356513284,3831,440
837471256429613056,12694,2254
837110210464448512,15958,2343
836989968035819520,12691,2275
836753516572119041,19234,4603
836677758902222849,12554,2204
836648853927522308,0,554
836397794269200385,0,27272
836380477523124226,14685,2967
836260088725786625,21209,4267
836001077879255040,18996,4220
835685285446955009,0,8066
835574547218894849,17715,3592
835536468978302976,0,1687
835309094223372289,0,20767
835297930240217089,16400,2987
835264098648616962,7699,1687
835246439529840640,2088,73
835172783151792128,26059,5727
835152434251116546,22319,2992
834931633769889797,10754,1626
834786237630337024,21289,5456
834574053763584002,13601,2516
834477809192075265,0,10570
834458053273591808,9574,1672
834209720923721728,20493,4721
834167344700198914,15766,3641
834089966724603904,10015,2120
834086379323871233,13028,2193
833863086058651648,13387,2397
833826103416520705,18017,3751
833732339549220864,0,221
833722901757046785,20762,3205
833479644947025920,14807,2043
833124694597443584,20142,4813
832998151111966721,13225,2194
832769181346996225,0,39
832757312314028032,16834,3605
832682457690300417,11845,2898
832645525019123713,2914,530
832636094638288896,15814,2771
832397543355072512,11941,2212
832369877331693569,17162,3171
832273440279240704,11333,2333
832215909146226688,0,6185
832215726631055365,0,9287
832088576586297345,62,2
832040443403784192,0,9592
832032802820481025,17830,4641
831939777352105988,23940,6112
831926988323639298,334,34
831911600680497154,27570,6482
831670449226514432,10417,1809
831650051525054464,7120,1922
831552930092285952,8966,2309
831322785565769729,9268,1545
831315979191906304,6533,1124
831309418084069378,11749,2461
831262627380748289,11897,2038
830956169170665475,7962,1495
830583320585068544,66776,16722
830173239259324417,0,5671
830097400375152640,9785,2929
829878982036299777,0,5003
829861396166877184,12226,1938
829501995190984704,31721,10570
829449946868879360,10466,2016
829141528400556032,24383,7329
829011960981237760,53157,16289
828801551087042563,0,3420
828770345708580865,25587,5856
828708714936930305,36510,11167
828650029636317184,9497,1345
828409743546925057,6347,1164
